,ObsID,DateTime,MMSI,VesselName,CallSign,Length,Width,Draft,ObservableProperty,Value,Timestamp
73,73,10/09/2021  00:00:00,367046940,GLADIATOR,WCZ9000,33,9,0,SpeedOverGround,0,1631228400
74,74,10/09/2021  00:00:00,367046940,GLADIATOR,WCZ9000,33,9,0,Course,225,1631228400
75,75,10/09/2021  00:00:00,367046940,GLADIATOR,WCZ9000,33,9,0,Bearing,209,1631228400
76,76,10/09/2021  00:00:00,368046360,POSEIDON,WDK3553,36,9,0,LatLong,"29.34967,-90.72952",1631228400
77,77,10/09/2021  00:00:00,368046360,POSEIDON,WDK3553,36,9,0,SpeedOverGround,0,1631228400
78,78,10/09/2021  00:00:00,368046360,POSEIDON,WDK3553,36,9,0,Course,349.2,1631228400
79,79,10/09/2021  00:00:00,368046360,POSEIDON,WDK3553,36,9,0,Bearing,4,1631228400
80,80,10/09/2021  00:00:00,367710960,CAPT TROY GREEN,WDI5675,0,0,0,LatLong,"29.73640,-95.12881",1631228400
81,81,10/09/2021  00:00:00,367710960,CAPT TROY GREEN,WDI5675,0,0,0,SpeedOverGround,0,1631228400
82,82,10/09/2021  00:00:00,367710960,CAPT TROY GREEN,WDI5675,0,0,0,Course,61.9,1631228400
83,83,10/09/2021  00:00:00,367710960,CAPT TROY GREEN,WDI5675,0,0,0,Bearing,5,1631228400
84,84,10/09/2021  00:00:00,538009191,SEAMAX BRIDGEPORT,V7A4432,323,43,12,LatLong,"34.58388,-75.16220",1631228400
85,85,10/09/2021  00:00:00,538009191,SEAMAX BRIDGEPORT,V7A4432,323,43,12,SpeedOverGround,18.8,1631228400
86,86,10/09/2021  00:00:00,538009191,SEAMAX BRIDGEPORT,V7A4432,323,43,12,Course,236,1631228400
87,87,10/09/2021  00:00:00,538009191,SEAMAX BRIDGEPORT,V7A4432,323,43,12,Bearing,234,1631228400
88,88,10/09/2021  00:00:00,367479930,MR BENNETT,WDF6985,18,7,0,LatLong,"29.68541,-94.95800",1631228400
89,89,10/09/2021  00:00:00,367479930,MR BENNETT,WDF6985,18,7,0,SpeedOverGround,5.3,1631228400
90,90,10/09/2021  00:00:00,367479930,MR BENNETT,WDF6985,18,7,0,Course,300.2,1631228400
91,91,10/09/2021  00:00:00,367479930,MR BENNETT,WDF6985,18,7,0,Bearing,299,1631228400
92,92,10/09/2021  00:00:00,366782000,CHESAPEAKE COAST,WDF9286,29,10,0,LatLong,"39.54043,-74.10874",1631228400
93,93,10/09/2021  00:00:00,366782000,CHESAPEAKE COAST,WDF9286,29,10,0,SpeedOverGround,10.6,1631228400
94,94,10/09/2021  00:00:00,366782000,CHESAPEAKE COAST,WDF9286,29,10,0,Course,208.7,1631228400
95,95,10/09/2021  00:00:00,366782000,CHESAPEAKE COAST,WDF9286,29,10,0,Bearing,207,1631228400
96,96,10/09/2021  00:00:00,366960120,ISLANDER,WY5552,24,9,0,LatLong,"35.40585,-76.33542",1631228400
97,97,10/09/2021  00:00:00,366960120,ISLANDER,WY5552,24,9,0,SpeedOverGround,0,1631228400
98,98,10/09/2021  00:00:00,366960120,ISLANDER,WY5552,24,9,0,Course,0,1631228400
99,99,10/09/2021  00:00:00,366960120,ISLANDER,WY5552,24,9,0,Bearing,511,1631228400
100,100,10/09/2021  00:00:00,246883000,ROLLDOCK STORM,PCQX,151,25,5.7,LatLong,"25.81655,-79.47768",1631228400
101,101,10/09/2021  00:00:00,246883000,ROLLDOCK STORM,PCQX,151,25,5.7,SpeedOverGround,11.2,1631228400
102,102,10/09/2021  00:00:00,246883000,ROLLDOCK STORM,PCQX,151,25,5.7,Course,194,1631228400
103,103,10/09/2021  00:00:00,246883000,ROLLDOCK STORM,PCQX,151,25,5.7,Bearing,194,1631228400
104,104,10/09/2021  00:00:00,367725060,AMERICAN LIFE,WDI7069,23,0,0,LatLong,"30.15830,-91.33517",1631228400
105,105,10/09/2021  00:00:00,367725060,AMERICAN LIFE,WDI7069,23,0,0,SpeedOverGround,5,1631228400
106,106,10/09/2021  00:00:00,367725060,AMERICAN LIFE,WDI7069,23,0,0,Course,137.1,1631228400
107,107,10/09/2021  00:00:00,367725060,AMERICAN LIFE,WDI7069,23,0,0,Bearing,511,1631228400
108,108,10/09/2021  00:00:00,316026695,CSL WELLAND,CFK5151,225,23,9,LatLong,"46.44947,-84.53743",1631228400
109,109,10/09/2021  00:00:00,316026695,CSL WELLAND,CFK5151,225,23,9,SpeedOverGround,10.4,1631228400
110,110,10/09/2021  00:00:00,316026695,CSL WELLAND,CFK5151,225,23,9,Course,281,1631228400
111,111,10/09/2021  00:00:00,316026695,CSL WELLAND,CFK5151,225,23,9,Bearing,287,1631228400
112,112,10/09/2021  00:00:00,338926411,CG WILLIAM TRUMP,NECW,46,7,0,LatLong,"25.77021,-80.14536",1631228400
113,113,10/09/2021  00:00:00,338926411,CG WILLIAM TRUMP,NECW,46,7,0,SpeedOverGround,0,1631228400
114,114,10/09/2021  00:00:00,338926411,CG WILLIAM TRUMP,NECW,46,7,0,Course,299.3,1631228400
115,115,10/09/2021  00:00:00,338926411,CG WILLIAM TRUMP,NECW,46,7,0,Bearing,143,1631228400
116,116,10/09/2021  00:00:00,367421740,BROOKE MCKENZIE,WDE9826,40,10,0,LatLong,"37.04880,-88.42645",1631228400
117,117,10/09/2021  00:00:00,367421740,BROOKE MCKENZIE,WDE9826,40,10,0,SpeedOverGround,0,1631228400
118,118,10/09/2021  00:00:00,367421740,BROOKE MCKENZIE,WDE9826,40,10,0,Course,284.3,1631228400
119,119,10/09/2021  00:00:00,367421740,BROOKE MCKENZIE,WDE9826,40,10,0,Bearing,247,1631228400
120,120,10/09/2021  00:00:00,367162740,CAPT ROD II,WDD5731,14,4,0,LatLong,"29.60294,-89.86659",1631228400
121,121,10/09/2021  00:00:00,367162740,CAPT ROD II,WDD5731,14,4,0,SpeedOverGround,0,1631228400
122,122,10/09/2021  00:00:00,367162740,CAPT ROD II,WDD5731,14,4,0,Course,304.5,1631228400
123,123,10/09/2021  00:00:00,367162740,CAPT ROD II,WDD5731,14,4,0,Bearing,511,1631228400
124,124,10/09/2021  00:00:00,367522060,WEATHERLY,WDG3060,28,8,0,LatLong,"38.22302,-74.10028",1631228400
125,125,10/09/2021  00:00:00,367522060,WEATHERLY,WDG3060,28,8,0,SpeedOverGround,5.1,1631228400
126,126,10/09/2021  00:00:00,367522060,WEATHERLY,WDG3060,28,8,0,Course,176.9,1631228400
127,127,10/09/2021  00:00:00,367522060,WEATHERLY,WDG3060,28,8,0,Bearing,167,1631228400
128,128,10/09/2021  00:00:00,355658000,SM SEAHAWK,3FLV3,295,46,11.4,LatLong,"25.83554,-117.34650",1631228400
129,129,10/09/2021  00:00:00,355658000,SM SEAHAWK,3FLV3,295,46,11.4,SpeedOverGround,17.5,1631228400
130,130,10/09/2021  00:00:00,355658000,SM SEAHAWK,3FLV3,295,46,11.4,Course,308.2,1631228400
131,131,10/09/2021  00:00:00,355658000,SM SEAHAWK,3FLV3,295,46,11.4,Bearing,307,1631228400
132,132,10/09/2021  00:00:00,367605850,HMS JUSTICE,WDH3254,22,0,0,LatLong,"40.63374,-73.74700",1631228400
133,133,10/09/2021  00:00:00,367605850,HMS JUSTICE,WDH3254,22,0,0,SpeedOverGround,0,1631228400
134,134,10/09/2021  00:00:00,367605850,HMS JUSTICE,WDH3254,22,0,0,Course,266.7,1631228400
